"id","code","name","city_id"
"506","210522","桓仁满族自治县","733"
"507","210601","市辖区","734"
"508","210602","元宝区","734"
"509","210603","振兴区","734"
"510","210604","振安区","734"
"511","210624","宽甸满族自治县","734"
"512","210681","东港市","734"
"513","210682","凤城市","734"
"514","210701","市辖区","735"
"515","210702","古塔区","735"
"516","210703","凌河区","735"
"517","210711","太和区","735"
"518","210726","黑山县","735"
"519","210727","义　县","735"
"520","210781","凌海市","735"
"521","210782","北宁市","735"
"522","210801","市辖区","736"
"523","210802","站前区","736"
"524","210803","西市区","736"
"525","210804","鲅鱼圈区","736"
"526","210811","老边区","736"
"527","210881","盖州市","736"
"528","210882","大石桥市","736"
"529","210901","市辖区","737"
"530","210902","海州区","737"
"531","210903","新邱区","737"
"532","210904","太平区","737"
"533","210905","清河门区","737"
"534","210911","细河区","737"
"535","210921","阜新蒙古族自治县","737"
"536","210922","彰武县","737"
"537","211001","市辖区","738"
"538","211002","白塔区","738"
"539","211003","文圣区","738"
"540","211004","宏伟区","738"
"541","211005","弓长岭区","738"
"542","211011","太子河区","738"
"543","211021","辽阳县","738"
"544","211081","灯塔市","738"
"545","211101","市辖区","739"
"546","211102","双台子区","739"
"547","211103","兴隆台区","739"
"548","211121","大洼县","739"
"549","211122","盘山县","739"
"550","211201","市辖区","740"
"551","211202","银州区","740"
"552","211204","清河区","740"
"553","211221","铁岭县","740"
"554","211223","西丰县","740"
"555","211224","昌图县","740"
"556","211281","调兵山市","740"
"557","211282","开原市","740"
"558","211301","市辖区","741"
"559","211302","双塔区","741"
"560","211303","龙城区","741"
"561","211321","朝阳县","741"
"562","211322","建平县","741"
"563","211324","喀喇沁左翼蒙古族自治县","741"
"564","211381","北票市","741"
"565","211382","凌源市","741"
"566","211401","市辖区","742"
"567","211402","连山区","742"
"568","211403","龙港区","742"
"569","211404","南票区","742"
"570","211421","绥中县","742"
"571","211422","建昌县","742"
"572","211481","兴城市","742"
"573","220101","市辖区","743"
"574","220102","南关区","743"
"575","220103","宽城区","743"
"576","220104","朝阳区","743"
"577","220105","二道区","743"
"578","220106","绿园区","743"
"579","220112","双阳区","743"
"580","220122","农安县","743"
"581","220181","九台市","743"
"582","220182","榆树市","743"
"583","220183","德惠市","743"
"584","220201","市辖区","744"
"585","220202","昌邑区","744"
"586","220203","龙潭区","744"
"587","220204","船营区","744"
"588","220211","丰满区","744"
"589","220221","永吉县","744"
"590","220281","蛟河市","744"
"591","220282","桦甸市","744"
"592","220283","舒兰市","744"
"593","220284","磐石市","744"
"594","220301","市辖区","745"
"595","220302","铁西区","745"
"596","220303","铁东区","745"
"597","220322","梨树县","745"
"598","220323","伊通满族自治县","745"
"599","220381","公主岭市","745"
"600","220382","双辽市","745"
"601","220401","市辖区","746"
"602","220402","龙山区","746"
"603","220403","西安区","746"
"604","220421","东丰县","746"
"605","220422","东辽县","746"
"606","220501","市辖区","747"
"607","220502","东昌区","747"
"608","220503","二道江区","747"
"609","220521","通化县","747"
"610","220523","辉南县","747"
"611","220524","柳河县","747"
"612","220581","梅河口市","747"
"613","220582","集安市","747"
"614","220601","市辖区","748"
"615","220602","八道江区","748"
"616","220621","抚松县","748"
"617","220622","靖宇县","748"
"618","220623","长白朝鲜族自治县","748"
"619","220625","江源县","748"
"620","220681","临江市","748"
"621","220701","市辖区","749"
"622","220702","宁江区","749"
"623","220721","前郭尔罗斯蒙古族自治县","749"
"624","220722","长岭县","749"
"625","220723","乾安县","749"
"626","220724","扶余县","749"
